dataset,method,rep,RME_All,RME_Nonzeros,RMSE,aucpr,precision,recall,f1,n_selected
Dataset I,HiLASSO,0,0.6909578227631585,0.5870112013797227,4.010966472707661,0.8369179894179893,0.625,0.5,0.5555555555555556,8
Dataset I,HiLASSO,1,1.0525510433525036,0.9150653383518965,5.489996210489625,0.6472633616383616,0.5,0.4,0.4444444444444445,8
Dataset I,HiLASSO,2,0.6132474969520627,0.47221228427689727,3.8967109862596003,0.8450133485888635,0.6666666666666666,0.6,0.631578947368421,9
Dataset I,HiLASSO,3,1.0185696002527123,0.9285917122046019,2.796399555380582,0.6787633849936006,0.75,0.6,0.6666666666666665,8
Dataset I,HiLASSO,4,0.5776065737652201,0.47958695033364507,4.513131695274054,0.7956220366934653,0.75,0.6,0.6666666666666665,8
Dataset I,HiLASSO,5,0.4432049054515565,0.43094968043768245,3.4880134491376436,0.8448426573426573,0.8333333333333334,0.5,0.625,6
Dataset I,HiLASSO,6,0.926723690654026,0.6721862011898385,5.503859804717395,0.6449814601713336,0.5,0.5,0.5,10
Dataset I,HiLASSO,7,0.8081454897209529,0.5698504657851402,3.7715066044862975,0.8587193362193363,0.7,0.7,0.7,10
Dataset I,HiLASSO,8,0.434009696957638,0.3479667976151868,2.546601618658378,0.7598124098124097,0.75,0.6,0.6666666666666665,8
Dataset I,HiLASSO,9,0.5450796836155671,0.3892351517942332,2.9376008329778096,0.7189227439227438,0.5555555555555556,0.5,0.5263157894736842,9
Dataset II,HiLASSO,0,10.756936808205595,8.895398766185101,12.105796706092429,0.4172992671563939,0.27941176470588236,0.38,0.3220338983050848,68
Dataset II,HiLASSO,1,12.123575480898515,11.046296053026786,12.759273160171901,0.662355350423503,0.34285714285714286,0.48,0.39999999999999997,70
Dataset II,HiLASSO,2,9.830863013455593,8.352393917872666,9.955989013019886,0.5100082066879998,0.34375,0.44,0.3859649122807018,64
Dataset II,HiLASSO,3,11.424287671941137,10.15282152172782,8.849980383447152,0.5539557336944441,0.3770491803278688,0.46,0.4144144144144144,61
Dataset II,HiLASSO,4,13.843950791308929,12.568939546499276,9.897779901799463,0.5940325168455983,0.3968253968253968,0.5,0.4424778761061947,63
Dataset II,HiLASSO,5,9.079335853277449,8.37945816224285,9.07829169491473,0.5937570675520476,0.4032258064516129,0.5,0.4464285714285714,62
Dataset II,HiLASSO,6,17.169958545937458,16.06020302960713,9.130641828642135,0.6921767710756972,0.42424242424242425,0.56,0.4827586206896552,66
Dataset II,HiLASSO,7,13.003808988879737,11.596401345602224,12.165933341308946,0.5564651190533708,0.3611111111111111,0.52,0.42622950819672134,72
Dataset II,HiLASSO,8,21.08298595963211,20.20958612621119,14.327687966875594,0.6697027157416571,0.4153846153846154,0.54,0.46956521739130436,65
Dataset II,HiLASSO,9,13.318499467861315,11.868051456517701,9.108605964777631,0.5958654165409414,0.34328358208955223,0.46,0.39316239316239315,67
Dataset III,HiLASSO,0,92.7204074436986,84.04109650314453,23.37282992397634,0.7209259716489129,0.06699346405228758,0.82,0.12386706948640483,612
Dataset III,HiLASSO,1,85.37480909864244,75.56464009529834,27.782679616266737,0.7444664355344113,0.06396255850234009,0.82,0.11866859623733718,641
Dataset III,HiLASSO,2,73.4485539303416,63.89324485266661,24.459064459670003,0.5805848453830491,0.051593323216995446,0.68,0.09590973201692524,659
Dataset III,HiLASSO,3,76.76519738969621,67.84222092548069,21.913480898356823,0.8045611083104461,0.07033639143730887,0.92,0.13068181818181818,654
Dataset III,HiLASSO,4,99.35491640103007,90.57018613705996,31.232986991625733,0.9110237281511158,0.07424242424242425,0.98,0.13802816901408452,660
Dataset III,HiLASSO,5,151.21398344255644,141.89274682205632,38.41499153323463,0.9338192024554983,0.08156606851549755,1.0,0.15082956259426847,613
Dataset III,HiLASSO,6,110.57349040647215,100.9064773645698,30.58441362505498,0.8002871830179779,0.07085346215780998,0.88,0.13114754098360654,621
Dataset III,HiLASSO,7,88.20300943971019,80.93619935315401,29.94729605938848,0.866946714721762,0.0802675585284281,0.96,0.14814814814814817,598
Dataset III,HiLASSO,8,75.51370568008178,66.9094271081346,28.17464531783347,0.6933842737535628,0.06842923794712286,0.88,0.12698412698412698,643
Dataset III,HiLASSO,9,74.25574832407251,66.21020401876487,24.82327095638429,0.7805717819613958,0.0717628705148206,0.92,0.13314037626628078,641
Dataset IV,HiLASSO,0,26.075454402813634,22.449930261655574,13.23232301952202,0.7921444020022339,0.0715372907153729,0.94,0.13295615275813294,657
Dataset IV,HiLASSO,1,21.133149925194815,17.390824193195723,17.1382968530103,0.7415245129950953,0.06706408345752608,0.9,0.12482662968099861,671
Dataset IV,HiLASSO,2,29.044813437968557,25.552371983326797,19.14730754239465,0.8065172640368782,0.06811594202898551,0.94,0.12702702702702703,690
Dataset IV,HiLASSO,3,34.455928395921596,30.768000154897386,18.08669436368988,0.8501675203112914,0.06559766763848396,0.9,0.12228260869565216,686
Dataset IV,HiLASSO,4,22.786875277200142,19.50744141860973,12.807844258788313,0.7180840485549668,0.08235294117647059,0.98,0.15193798449612403,595
Dataset IV,HiLASSO,5,34.05102189141238,31.248580847245428,17.8224608464691,0.8568289918452213,0.0784313725490196,0.96,0.14501510574018128,612
Dataset IV,HiLASSO,6,26.46255520245958,22.908979330337814,17.015698467272777,0.760727557064009,0.0715372907153729,0.94,0.13295615275813294,657
Dataset IV,HiLASSO,7,20.88819104688989,17.78559520556434,13.575339255877461,0.7763160394852752,0.06656346749226007,0.86,0.12356321839080461,646
Dataset IV,HiLASSO,8,24.466405702310535,20.612425861469102,12.719634658358075,0.7812246333528426,0.0647887323943662,0.92,0.12105263157894736,710
Dataset IV,HiLASSO,9,25.166779919964473,22.07443926146378,15.661057837409283,0.8393650668251665,0.06923076923076923,0.9,0.1285714285714286,650
